,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1259_CHICHI_HWA006-N,nonCollapse,0.0105006,0.0111127,0.00995331,0.00721885,0.00640011,0.00592133,0.00511554,0.0036958,0.00334245,0.00326828,0.00319712,0.00351663,0.00419238,0.00424687,0.00373392,0.00296601,0.00175525,0.00367846,0.00394335,0.00366373,0.00276752,0.00215482,0.00179761,0.001462,0.00104871,0.000955428,0.000942505,0.000923726,0.000926876,0.00102149,0.000973849,0.000817951,0.000630744,0.0005,54.5675,54.5675,60.4438,85.5916,89.6335,99.4644,91.5685,89.3322,99.0636,105.203,108.258,106.566,112.59,116.952,119.369,133.548,152.12,176.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1266_CHICHI_HWA015-E,nonCollapse,0.00400684,0.0045403,0.00434629,0.00336978,0.00266053,0.00222129,0.00193213,0.00155785,0.00162679,0.00176045,0.00186672,0.00203241,0.00245018,0.00249527,0.00220752,0.00177078,0.00105566,-0.00218756,-0.00251158,-0.00245001,-0.00189599,-0.00147463,-0.00120093,-0.00094225,-0.000644709,-0.000564594,-0.000545724,-0.000528694,-0.00053628,-0.000613613,-0.000602782,-0.000510488,-0.0005,-0.0005,44.191,44.191,39.905,41.4302,47.9261,49.0375,43.7143,40.4775,35.3733,38.394,38.3637,37.1094,42.1478,53.7203,67.316,78.9059,89.2055,104.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1283_CHICHI_HWA034-E,nonCollapse,0.00555441,0.00596937,0.00520246,0.00420683,0.00463098,0.00427059,0.00342335,0.00250459,0.00243558,0.0024926,0.00296362,0.00361151,0.00458894,0.00484394,0.00438818,0.00355772,0.0021083,0.00172351,0.00196998,0.00193114,0.00150539,0.0011838,0.000981638,0.00079,0.000562497,0.000512689,0.000506584,0.0005,0.0005,0.000529125,0.0005,0.0005,0.0005,0.0005,111.793,111.793,134.479,177.287,164.373,132.662,112.057,104.23,127.112,134.979,143.164,146.934,135.566,138.913,122.117,130.834,172.44,215.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1290_CHICHI_HWA043-E,nonCollapse,0.00716845,0.00769132,0.00672943,0.00501372,0.00407122,0.00348298,0.00296073,0.00231949,0.00225188,0.00243352,0.00257756,0.00280065,0.0033162,0.00336063,0.00299938,0.00242024,0.00144381,-0.0015673,-0.00180414,-0.00176998,-0.0013828,-0.00108863,-0.000901194,-0.000722094,-0.000506366,-0.0005,-0.0005,-0.0005,-0.0005,-0.000526089,-0.000522858,-0.0005,-0.0005,-0.0005,58.6051,58.6051,57.8676,76.9674,102.262,104.131,88.0274,74.2767,76.5712,82.4014,80.7186,83.1039,92.1938,96.8051,93.9331,100.546,117.408,142.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1295_CHICHI_HWA049-N,nonCollapse,0.00946336,0.0106517,0.0102831,0.00791962,0.00617359,0.00507997,0.00417398,0.00298165,0.00268906,0.00266243,0.00263787,0.00276089,0.00319812,0.00317154,0.00273054,0.00213288,0.00125635,-0.00169126,-0.00185844,-0.00175198,-0.00131598,-0.00100101,-0.000801173,-0.000622014,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,18.606,18.606,31.8517,51.1689,61.0635,60.3677,64.7941,74.0791,80.6721,81.611,82.7323,88.3213,92.2303,94.146,97.575,104.422,115.844,125.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1339_CHICHI_ILA051-E,nonCollapse,0.00924492,0.00977425,0.00861201,0.0072226,0.00614686,0.00562488,0.00490336,0.00352618,0.00332972,0.00369652,0.00406648,0.00456763,0.0055037,0.00564827,0.0051114,0.00414588,0.00247193,-0.00186633,-0.00201636,-0.00189587,-0.00141091,-0.00105378,-0.000809799,-0.000590008,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,52.2712,52.2712,92.0954,108.137,125.774,125.463,103.188,103.303,123.158,128.925,139.745,159.403,163.333,149.451,125.496,167.29,204.086,246.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1347_CHICHI_ILA063-N,nonCollapse,0.00556625,0.00617578,0.00601552,0.00479596,0.00380615,0.00327533,0.0027642,0.00191547,0.0016975,0.00165756,0.00163936,0.0016844,0.0019307,0.00192354,0.00178823,0.00158104,0.00103861,0.00073243,0.000839276,0.000822953,0.000642881,0.000507985,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,72.3251,72.3251,53.8791,56.6828,50.6773,59.5006,62.8263,62.5292,74.0765,76.2783,69.6096,69.2263,70.3262,69.0251,75.0892,78.8727,73.4487,86.3199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN139_TABAS_DAY-L1,nonCollapse,0.00440573,0.00478783,0.00451976,0.00351407,0.00316557,0.00265028,0.00265405,0.00216316,0.00186823,0.00188505,0.00202254,0.00266459,0.00355421,0.00384218,0.00355075,0.00293682,0.00176595,0.00118406,0.00130545,0.00120436,0.000845748,0.000565321,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,95.0411,95.0411,76.9959,99.2353,83.3779,79.7729,76.1279,82.2978,75.8438,69.2096,91.5121,99.3547,95.159,89.2715,83.3764,103.476,137.386,174.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1452_CHICHI_TAP086-E,nonCollapse,0.00999604,0.010721,0.00987054,0.00722883,0.00558676,0.00510009,0.00474199,0.00382352,0.00373987,0.00384564,0.00395251,0.00419002,0.00485773,0.00487514,0.00428568,0.00342625,0.00201629,0.00194905,0.0021002,0.00195376,0.00147906,0.00115407,0.000967967,0.000793278,0.00057778,0.000534047,0.000533695,0.000530566,0.000536822,0.000589871,0.00055954,0.0005,0.0005,0.0005,51.2434,51.2434,78.4654,85.3241,98.6797,104.859,99.3194,105.499,102.53,92.7752,92.8873,103.713,104.002,113.049,133.223,155.487,176.291,203.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1491_CHICHI_TCU051-E,nonCollapse,0.00486832,0.00531796,0.00493638,0.00385994,0.00353722,0.00357209,0.00327326,0.00246803,0.0022378,0.00229558,0.00238903,0.00255349,0.00296765,0.0030063,0.0026606,0.00211282,0.0012371,0.00243604,0.00279042,0.00273141,0.00212494,0.00166844,0.00137795,0.00110158,0.000775017,0.000697571,0.000683938,0.000666584,0.000663626,0.000723261,0.000683352,0.000572388,0.0005,0.0005,24.1237,24.1237,43.7554,54.3858,55.7086,59.7046,55.0896,59.3062,63.3249,55.4551,61.9861,66.6538,69.9711,73.1399,81.8253,96.6112,108.929,126.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
