,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1169_KOCAELI_MSK000,nonCollapse,0.00633079,0.00708488,0.0068978,0.00519025,0.00436597,0.0037912,0.00333483,0.00274583,0.0030696,0.00333238,0.00347165,0.00371088,0.00435883,0.00436292,0.00381134,0.00305099,0.00184836,-0.000984105,-0.00113273,-0.00110491,-0.000854632,-0.000663879,-0.000540019,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,152.0,152.0,67.1007,95.0975,85.6486,99.4509,95.5504,93.2944,104.161,95.8012,88.7692,85.5017,81.6668,104.22,120.559,146.008,164.544,174.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1170_KOCAELI_MCD000,nonCollapse,0.0111017,0.0115403,0.0104549,0.00811926,0.00627313,0.00498784,0.00389071,0.00266661,0.00236846,0.00232518,0.00233762,0.00245643,0.00282106,0.00277527,0.00238604,0.00187245,0.00120994,-0.0005,-0.000683213,-0.000775512,-0.000635707,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,115.534,115.534,74.5553,98.4519,76.3162,99.684,87.9973,81.572,95.3844,94.5106,85.3444,88.8691,111.397,110.261,112.328,106.411,101.99,109.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1193_CHICHI_CHY024-E,nonCollapse,0.0087584,0.00987695,0.00955267,0.00738175,0.00585422,0.00494064,0.00399062,0.00283194,0.00274936,0.00281586,0.00288357,0.00306118,0.0035657,0.00366505,0.00337873,0.00278515,0.00169438,-0.00232108,-0.00266208,-0.00259192,-0.00200549,-0.00155691,-0.00125637,-0.000975296,-0.000657736,-0.000569311,-0.000546218,-0.000523897,-0.00052651,-0.000599631,-0.000586011,-0.0005,-0.0005,-0.0005,64.1869,64.1869,70.0225,80.4305,78.9745,90.7985,84.8819,84.7838,93.2815,99.1679,96.6767,106.327,113.805,117.808,109.216,111.476,128.382,162.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1199_CHICHI_CHY032-E,nonCollapse,0.0113566,0.0126173,0.0119236,0.0087859,0.00671784,0.00552539,0.00450772,0.00338287,0.00326756,0.00334374,0.00337991,0.00351422,0.00402392,0.00394351,0.00335889,0.00260014,0.00151686,0.00191838,0.00231224,0.00236857,0.00194866,0.00159433,0.00133129,0.0010494,0.000720695,0.000636453,0.000617262,0.000593578,0.000581516,0.000624171,0.000581702,0.0005,0.0005,0.0005,37.6353,37.6353,55.4072,55.6292,63.9299,68.0315,70.8328,82.2798,87.6414,86.2483,85.0891,85.87,96.5256,110.657,125.51,138.768,147.791,154.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1207_CHICHI_CHY044-E,nonCollapse,0.0136664,0.0143252,0.0128377,0.00892623,0.00646625,0.00519722,0.00418112,0.00305873,0.00305225,0.0032347,0.00339283,0.00362932,0.00420688,0.0041478,0.00355529,0.00276733,0.00161194,0.00126606,0.00116037,0.000884173,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,38.2533,38.2533,55.9442,70.5335,76.3077,81.1488,85.7731,78.9201,84.8552,89.1845,95.3666,99.4443,101.099,101.866,118.936,139.122,154.528,166.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1226_CHICHI_CHY071-E,nonCollapse,0.0119671,0.0122004,0.0108251,0.00797116,0.00671726,0.0062578,0.00563324,0.00443698,0.00426534,0.00429089,0.00441496,0.00511887,0.0063004,0.00650536,0.00578115,0.00461472,0.00270186,0.00188295,0.0021282,0.00206775,0.00161996,0.00129074,0.00108864,0.000887116,0.000638414,0.000582271,0.000575144,0.000562387,0.000560962,0.000613454,0.000578918,0.0005,0.0005,0.0005,53.2183,53.2183,81.0178,117.477,134.004,139.937,121.131,108.757,108.303,102.776,107.488,114.317,130.839,145.852,160.296,181.062,233.575,278.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1234_CHICHI_CHY086-E,nonCollapse,0.015148,0.0146475,0.0119403,0.00811355,0.00672354,0.0067347,0.00610676,0.00464076,0.00469714,0.00488962,0.00510299,0.00584008,0.00728394,0.0076322,0.00688228,0.00556339,0.00331016,-0.000751421,-0.000631287,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,80.5118,80.5118,143.235,197.6,188.237,158.569,138.528,138.921,164.205,161.979,154.13,168.977,169.243,160.646,181.2,208.867,263.103,331.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1239_CHICHI_CHY093-N,nonCollapse,0.0120438,0.0130024,0.0121399,0.00871184,0.00668848,0.00535618,0.00458328,0.00344555,0.00313473,0.00300188,0.00307725,0.00339276,0.00407364,0.00415022,0.00366264,0.00296419,0.00178803,0.00054583,0.000572466,0.000507973,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,53.6388,53.6388,72.5216,83.2005,87.9888,95.3439,98.9348,106.844,110.169,102.678,103.287,114.328,119.879,126.326,124.901,129.413,148.68,173.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1258_CHICHI_HWA005-N,nonCollapse,0.0163517,0.0159713,0.0133202,0.0105195,0.009286,0.00845663,0.00739006,0.00552632,0.00504895,0.00499995,0.00498781,0.0051332,0.00582282,0.00582699,0.00511141,0.00406539,0.00241517,0.000750765,0.000579319,0.0005,0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,78.1779,78.1779,99.5123,129.991,141.963,123.228,121.982,125.55,106.108,127.903,150.123,158.598,163.487,177.821,195.091,207.128,214.019,241.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1259_CHICHI_HWA006-N,nonCollapse,0.0140953,0.0135626,0.0119583,0.00919433,0.00817993,0.00777161,0.00681579,0.00490536,0.00433327,0.00421832,0.00409534,0.00410301,0.00455758,0.00437625,0.00384749,0.00311703,0.00191029,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,87.3749,87.3749,98.8993,143.38,137.641,129.629,120.047,119.783,115.534,128.757,133.444,135.505,141.523,148.244,156.649,162.743,164.974,177.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
