,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1215_CHICHI_CHY058-E,nonCollapse,0.0143086,0.0149723,0.0137195,0.00987757,0.00747546,0.00631409,0.00637533,0.00525007,0.00498912,0.00488053,0.00485864,0.00544611,0.00661437,0.00681513,0.00608188,0.00488941,0.00291197,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,69.1341,69.1341,96.2931,127.976,124.509,136.4,151.991,153.769,134.761,126.85,125.396,142.876,160.951,172.679,181.238,188.796,239.496,291.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1217_CHICHI_CHY060-E,nonCollapse,0.0208513,0.0202116,0.0178335,0.0123876,0.00835429,0.00644734,0.0052496,0.00379143,0.00375944,0.00404158,0.00431014,0.00470302,0.00555707,0.00555399,0.00478786,0.00372579,0.00215161,-0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,55.5414,55.5414,81.8714,89.4859,98.4609,106.91,108.759,103.444,100.697,106.971,103.514,110.594,119.31,121.901,149.469,182.531,207.209,224.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1223_CHICHI_CHY067-N,nonCollapse,0.0224207,0.0213423,0.0186298,0.0126463,0.00853008,0.00697436,0.00565578,0.00404066,0.00365966,0.00361412,0.00363263,0.00387508,0.00462703,0.00467985,0.00409892,0.00324463,0.00192306,0.00290576,0.00252492,0.0019203,0.0010467,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,74.592,74.592,89.5461,109.161,108.435,105.86,110.437,121.735,120.682,123.1,116.941,109.041,114.922,124.206,134.434,147.311,174.25,195.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1240_CHICHI_CHY094-N,nonCollapse,0.0263403,0.0252687,0.0214227,0.0138195,0.00885518,0.00642641,0.00569956,0.00417394,0.0039953,0.00438195,0.00482526,0.00542363,0.0065549,0.00669207,0.00589468,0.00467988,0.00275984,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,61.9158,61.9158,109.801,145.728,146.812,148.115,119.635,125.765,143.085,154.018,164.526,172.319,175.494,164.244,150.088,197.413,240.117,276.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1242_CHICHI_CHY099-N,nonCollapse,0.021557,0.0206006,0.0170697,0.010715,0.00741877,0.00635851,0.00543383,0.00397604,0.00357453,0.00343484,0.00364016,0.00401111,0.00480709,0.00489321,0.00430609,0.00342114,0.00202829,0.00228819,0.00194716,0.00137352,0.000611252,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,59.3441,59.3441,90.4363,107.117,98.256,109.864,117.81,112.965,123.091,133.007,130.134,131.845,141.122,146.198,145.63,143.307,173.625,201.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1243_CHICHI_CHY100-N,nonCollapse,0.0213501,0.0206715,0.0172072,0.0109254,0.00737988,0.00641503,0.0053694,0.0039026,0.00365803,0.00373952,0.00394253,0.00428879,0.00511801,0.00525291,0.00464543,0.00369926,0.00218002,0.00138874,0.00121455,0.000877283,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,61.1616,61.1616,98.8546,96.2945,123.298,120.572,128.082,124.078,110.617,117.595,113.148,118.177,126.979,148.319,164.027,159.653,188.034,219.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1266_CHICHI_HWA015-E,nonCollapse,0.0114128,0.0121654,0.0107783,0.00838854,0.00708578,0.00682037,0.00628822,0.00503994,0.00525336,0.00568571,0.00604088,0.00662248,0.00813651,0.00829781,0.00726144,0.00581684,0.00346638,0.00106264,0.0013914,0.00154018,0.00128494,0.00105573,0.000886753,0.000714185,0.000504993,0.0005,0.0005,0.0005,0.0005,0.000605386,0.000575509,0.0005,0.0005,0.0005,146.076,146.076,131.928,121.231,138.648,155.29,141.507,134.103,114.95,125.926,126.266,121.322,136.831,175.132,219.521,256.59,300.962,343.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1268_CHICHI_HWA017-E,nonCollapse,0.0203854,0.0190979,0.016045,0.0103922,0.00779336,0.00725292,0.00619415,0.00506698,0.00582157,0.00639804,0.00696573,0.00807357,0.0104285,0.010913,0.00909445,0.00679945,0.00388892,-0.00167435,-0.0013056,-0.00083732,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.000571576,-0.0005,0.0005,0.0005,158.45,158.45,158.726,165.186,170.376,169.24,189.355,169.056,142.404,170.084,175.955,168.798,154.952,171.745,248.583,310.359,375.797,410.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1272_CHICHI_HWA023-E,nonCollapse,0.0192572,0.0202347,0.0185361,0.0132823,0.0100938,0.00795261,0.00661451,0.00513837,0.00534956,0.00550211,0.00558693,0.00614187,0.00741404,0.00759795,0.00674984,0.00542014,0.00324877,0.00397692,0.00362551,0.00305146,0.001905,0.00106271,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,107.461,107.461,109.641,140.017,150.746,152.045,160.295,159.481,152.868,141.144,161.546,165.053,168.921,180.209,203.131,215.516,265.224,320.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1292_CHICHI_HWA045-N,nonCollapse,0.0227004,0.0253289,0.0271384,0.020775,0.0125563,0.0091948,0.008888,0.00758649,0.0077405,0.00780946,0.00754617,0.00842814,0.0112357,0.0118371,0.00970748,0.00697829,0.00411976,0.00617078,0.00559315,0.00475384,0.00308297,0.00119749,0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,-0.0005,-0.0005,302.356,302.356,428.294,334.606,223.859,240.965,221.646,214.686,212.746,192.054,215.083,252.886,312.068,352.952,373.475,369.897,478.076,424.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
