,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1170_KOCAELI_MCD000,nonCollapse,0.0196557,0.0189108,0.0156043,0.0098704,0.00693676,0.0058062,0.00461122,0.00330945,0.00310999,0.00308664,0.00306346,0.00322618,0.00373497,0.00369414,0.0031824,0.00249754,0.00163697,0.00434397,0.00382323,0.0028342,0.00139286,0.000534416,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,156.033,156.033,100.686,132.941,103.059,134.655,118.812,108.566,110.081,120.777,110.072,120.007,150.456,149.147,151.765,143.791,136.359,146.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1177_KOCAELI_ZYT000,nonCollapse,0.0150763,0.0157761,0.0148726,0.0103706,0.00738836,0.00647318,0.00618704,0.00512137,0.00498308,0.00496354,0.00487314,0.00498857,0.00602741,0.00613991,0.00550037,0.00452082,0.00269372,0.00130588,0.00117945,0.000952598,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,150.356,150.356,118.876,131.883,124.78,141.981,146.582,123.884,145.815,140.86,125.873,139.063,166.505,187.966,203.817,209.534,228.361,271.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1215_CHICHI_CHY058-E,nonCollapse,0.0122752,0.0130564,0.0124551,0.00928995,0.00710235,0.00590615,0.00504536,0.00388196,0.00369115,0.00370226,0.00367341,0.0038443,0.00464709,0.00476755,0.00424382,0.0034088,0.00202726,-0.00085653,-0.000901374,-0.000858758,-0.000701431,-0.000597569,-0.000531838,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,45.5912,45.5912,79.8774,84.162,89.4043,90.0332,106.575,107.295,97.7498,94.587,101.149,108.429,117.329,127.565,137.455,146.337,167.666,203.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1223_CHICHI_CHY067-N,nonCollapse,0.0148903,0.0159833,0.0153722,0.0113238,0.00823644,0.00653289,0.00522039,0.00353049,0.00297261,0.00280288,0.00293661,0.00319334,0.00375402,0.00375592,0.00326615,0.00257327,0.00152419,0.00133884,0.0012764,0.00110666,0.000649569,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,0.0005,49.127,49.127,69.3768,89.5907,100.222,96.449,84.9775,86.134,103.001,119.104,127.373,126.447,121.053,114.359,110.047,118.195,137.623,152.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1272_CHICHI_HWA023-E,nonCollapse,0.013746,0.0140319,0.0121529,0.00857818,0.00678801,0.00628352,0.00555478,0.0042055,0.00410782,0.00425131,0.00441942,0.00487851,0.00587148,0.0059961,0.00531511,0.00425867,0.00253889,0.000883822,0.000814478,0.000609606,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,70.7962,70.7962,93.6071,108.291,126.033,123.107,124.751,132.125,123.029,102.581,111.323,121.876,125.259,143.961,159.149,176.042,213.228,252.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1290_CHICHI_HWA043-E,nonCollapse,0.0155521,0.0158029,0.0131621,0.00873246,0.00682253,0.00581161,0.00520763,0.00411379,0.00401451,0.00402321,0.0043473,0.00480573,0.00575906,0.00587743,0.00523974,0.00422724,0.00252572,-0.00124183,-0.00108532,-0.000807466,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,126.978,126.978,116.345,125.978,167.012,144.082,148.675,127.707,131.14,126.064,136.931,160.429,194.274,209.534,203.55,177.134,204.977,250.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1292_CHICHI_HWA045-N,nonCollapse,0.0123591,0.0147671,0.0164242,0.0128363,0.00914414,0.0085514,0.00864223,0.00726514,0.00721346,0.00735398,0.00739802,0.00758554,0.00861377,0.00906528,0.00817381,0.00659615,0.0040194,0.00114288,0.00118896,0.00115986,0.000755018,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,199.13,199.13,278.537,268.729,223.126,170.985,207.195,216.629,160.597,169.138,192.423,233.961,281.714,315.701,340.716,340.381,326.415,376.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1309_CHICHI_ILA003-N,nonCollapse,0.0160408,0.0161488,0.0145809,0.0100502,0.00727611,0.00609391,0.00483986,0.00344645,0.00351595,0.00370033,0.00385249,0.00411678,0.00479212,0.00475465,0.00410092,0.00320626,0.00186944,-0.0005,0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,55.9421,55.9421,101.111,116.375,120.1,112.544,108.879,106.815,117.629,137.229,146.376,146.974,138.369,118.256,131.65,154.961,175.811,192.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1340_CHICHI_ILA052-E,nonCollapse,0.017711,0.0165814,0.0155096,0.0114159,0.0079766,0.00575319,0.00474402,0.00350131,0.00335234,0.0034797,0.00382604,0.0043341,0.00532034,0.00553925,0.00499521,0.00405939,0.0024424,0.00224743,0.00188438,0.00138251,0.000621884,0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,88.635,88.635,132.016,138.522,161.272,116.539,101.882,133.283,135.498,136.751,119.634,123.835,136.368,135.92,140.958,164.512,193.295,236.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1465_CHICHI_TCU007-E,nonCollapse,0.0179267,0.0178329,0.0158065,0.0106479,0.00711077,0.00614403,0.00504498,0.00348828,0.00300227,0.00290198,0.00313288,0.00349996,0.00419575,0.0042504,0.00372457,0.00294544,0.00172246,0.00218409,0.00195317,0.00149629,0.000753702,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,0.0005,35.4672,35.4672,57.8256,79.67,92.9863,95.1531,91.3105,88.2113,90.974,104.933,113.777,118.525,118.541,113.984,110.271,127.295,154.623,177.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
