,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1473_CHICHI_TCU018-E,nonCollapse,0.0361538,0.0317681,0.0252125,0.0156886,0.00984849,0.0073155,0.00616191,0.00464501,0.00427478,0.00416172,0.00423614,0.00451317,0.00538245,0.0054645,0.00479714,0.00379962,0.00223792,0.00684105,0.00592652,0.00449445,0.00247692,0.00116187,0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,74.5386,74.5386,125.216,154.686,133.749,121.736,129.453,109.051,116.614,118.602,132.662,153.814,165.298,161.294,155.81,170.213,196.676,225.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1477_CHICHI_TCU031-E,nonCollapse,0.0594229,0.0551533,0.0410884,0.0208846,0.0112961,0.00737723,0.00660836,0.00511217,0.00472387,0.00455509,0.00436241,0.00437646,0.00485857,0.00486279,0.00442886,0.00365161,0.00222555,-0.0290739,-0.0256618,-0.0189433,-0.00884935,-0.00300141,-0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,98.014,98.014,616.533,368.854,198.858,157.177,114.191,128.206,160.216,159.922,142.679,153.953,167.683,170.557,181.075,184.41,182.181,218.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1482_CHICHI_TCU039-E,nonCollapse,0.0535649,0.0494396,0.0384313,0.0211935,0.0124606,0.00855839,0.00651266,0.0049134,0.00446919,0.00449122,0.00478921,0.00529551,0.00640759,0.00658202,0.00585008,0.00469294,0.002809,-0.0219146,-0.0195187,-0.015002,-0.00797514,-0.00314186,-0.000700336,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,114.285,114.285,317.99,204.469,177.132,146.889,122.689,126.508,148.924,148.471,149.879,177.648,184.442,171.743,169.057,192.156,231.688,274.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1508_CHICHI_TCU072-E,nonCollapse,0.0215857,0.0192755,0.0170386,0.0137625,0.0117774,0.0106431,0.00942112,0.00831034,0.00871167,0.0104577,0.0124922,0.0154702,0.0247287,0.0257455,0.0207658,0.0133544,0.00629166,0.00344956,0.00311221,0.00267325,0.00191378,0.00149779,0.000734913,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.000861269,-0.00160601,-0.00183739,-0.00150386,-0.000905695,-0.0005,327.904,327.904,291.692,343.793,386.264,277.063,267.057,285.067,307.552,240.518,291.817,328.355,336.694,383.037,442.87,458.559,562.163,643.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1514_CHICHI_TCU081-E,nonCollapse,0.029496,0.02773,0.0229828,0.0152666,0.00974767,0.00678184,0.00570961,0.00441163,0.00411424,0.00433027,0.00477423,0.0054683,0.00672699,0.00697014,0.00624476,0.00505093,0.00302764,0.00169432,0.00154486,0.00128135,0.00076345,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,97.7054,97.7054,118.66,178.673,176.355,138.728,139.125,147.686,157.405,169.66,167.869,151.802,156.798,162.51,159.831,203.524,250.173,299.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1515_CHICHI_TCU082-E,nonCollapse,0.0316494,0.0275475,0.0230503,0.0156757,0.00951712,0.00720704,0.00664996,0.00544504,0.0050395,0.00514904,0.0053795,0.00578867,0.00679615,0.00677143,0.00582562,0.00464704,0.00281779,0.00528151,0.00455865,0.00342295,0.00181071,0.000631846,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,154.845,154.845,171.276,219.895,187.089,207.402,216.53,202.944,150.605,154.778,197.666,235.787,243.35,230.027,205.5,225.37,254.424,274.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1526_CHICHI_TCU098-E,nonCollapse,0.0278629,0.0249904,0.0197067,0.0128527,0.0089205,0.00685453,0.00563646,0.00401848,0.00375075,0.00379448,0.00377861,0.00415602,0.00501509,0.00512639,0.00452202,0.00358534,0.00210358,-0.00193304,-0.00169907,-0.00125482,-0.000662402,-0.0005,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,70.5125,70.5125,105.553,135.278,125.787,104.97,110.024,117.041,125.483,121.108,138.744,147.4,150.967,148.474,151.419,157.884,186.562,216.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1527_CHICHI_TCU100-E,nonCollapse,0.0333172,0.0332676,0.0299212,0.019383,0.0113307,0.00710874,0.00629149,0.00506658,0.00493393,0.0051601,0.00536452,0.00574408,0.00670234,0.00663638,0.00567563,0.00440184,0.00269838,-0.00935967,-0.00863628,-0.00710817,-0.00412594,-0.00195282,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,108.102,108.102,135.222,152.68,134.712,161.581,163.672,146.542,127.753,124.933,128.091,152.929,176.472,189.337,192.148,226.708,250.095,263.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1533_CHICHI_TCU106-E,nonCollapse,0.0378732,0.0342159,0.0267693,0.0156407,0.010077,0.00732086,0.00664011,0.00490625,0.00442255,0.00476397,0.0049604,0.00519144,0.00603927,0.00650538,0.0059678,0.00487627,0.00289296,0.00614106,0.00535688,0.00403299,0.0021977,0.00100578,0.0005,0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,96.8176,96.8176,171.125,171.167,151.695,151.879,156.402,149.634,164.594,161.555,164.469,172.716,188.178,192.029,203.715,223.896,230.784,295.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1538_CHICHI_TCU112-E,MaxDrift,0.0940278,0.0884776,0.0720332,0.0410363,0.0155375,0.00720051,0.00608254,0.00462253,0.0044833,0.00461353,0.00470151,0.00492468,0.00565391,0.00577634,0.00517925,0.00419159,0.00251781,0.0938139,0.0883369,0.071964,0.0410188,0.0153103,0.0054534,0.00308967,0.00205434,0.00201084,0.00218071,0.00225462,0.00227492,0.00248398,0.00236149,0.00199724,0.00155568,0.000927648,65.8086,65.8086,1280.51,1132.74,1137.02,151.934,160.168,140.211,122.048,137.324,140.629,141.035,158.582,162.676,165.036,187.332,205.724,246.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
