,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1026_NORTHR_LOA092,nonCollapse,0.0433497,0.036567,0.0291095,0.0173719,0.0126568,0.0107015,0.00968589,0.00754566,0.00718157,0.00814464,0.00940204,0.0111845,0.0145025,0.0147518,0.0115158,0.00814356,0.00478322,0.010342,0.00901689,0.00689025,0.00417986,0.00238181,0.00118024,0.000605854,0.0005,0.0005,0.0005,0.000604974,0.000687328,0.000702943,0.000656532,0.000606255,0.0005,0.0005,309.719,309.719,281.362,302.121,284.897,279.786,249.992,247.859,224.295,228.341,245.814,262.106,304.685,365.341,363.326,453.015,488.289,448.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1161_KOCAELI_GBZ000,MaxDrift,0.0939958,0.0861613,0.0666904,0.0359744,0.0150774,0.00801762,0.00622298,0.00481108,0.00440219,0.00395031,0.00430117,0.00504823,0.006369,0.00674419,0.00616321,0.00505742,0.00309505,0.093573,0.0858,0.066442,0.0359032,0.0121025,0.00253404,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,0.0005,0.000533891,0.000894504,0.00107515,0.000927147,280.346,280.346,1917.88,1722.57,1147.71,250.625,129.7,126.399,155.232,152.831,198.705,241.227,259.526,232.989,169.987,190.915,236.047,298.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1193_CHICHI_CHY024-E,MaxDrift,0.0939149,0.0905547,0.0753617,0.0454679,0.0180781,0.00865589,0.00572876,0.00463174,0.00490065,0.00496428,0.00532225,0.00652801,0.00870884,0.00948281,0.00839016,0.0066412,0.00411183,0.0937006,0.0904774,0.0746717,0.042343,0.015064,0.00427654,0.00179594,0.000871684,0.00072314,0.000737699,0.000822269,0.00113539,0.00189285,0.00239703,0.00221266,0.00169259,0.000893656,270.891,270.891,1731.35,1348.91,1433.59,199.9,181.971,206.796,238.366,205.464,210.78,253.307,255.121,233.468,227.181,259.764,340.849,387.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1195_CHICHI_CHY026-E,MaxDrift,0.0940504,0.0841467,0.0610091,0.030095,0.0130767,0.00742755,0.00650534,0.00553242,0.00556324,0.00563179,0.0056088,0.00584668,0.00678486,0.00678943,0.00593156,0.00473882,0.00286224,0.0936268,0.083833,0.0608021,0.0300309,0.0104028,0.00357,0.00202149,0.00125649,0.00122603,0.00152518,0.00181522,0.00203617,0.00235073,0.00219892,0.00172906,0.00120037,0.000549816,117.859,117.859,1089.87,1959.19,352.572,169.752,146.95,134.451,149.703,145.164,152.295,157.995,191.923,209.33,220.092,235.299,256.056,279.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1199_CHICHI_CHY032-E,MaxDrift,0.0938365,0.0894019,0.0734864,0.0417052,0.0154152,0.00901934,0.00643463,0.00522446,0.00540674,0.00560958,0.00575567,0.00609484,0.00708556,0.00703066,0.00604317,0.00470113,0.00271121,0.0937562,0.0893405,0.0734191,0.041639,0.0153771,0.00515039,0.00303778,0.00231275,0.00232432,0.00240376,0.00257942,0.00289896,0.00345409,0.00346888,0.00302346,0.0023811,0.00141502,159.018,159.018,1764.96,1356.01,1395.22,183.668,185.114,149.69,162.293,172.233,146.8,150.743,181.843,204.211,209.552,237.043,262.217,283.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1204_CHICHI_CHY039-E,nonCollapse,0.030603,0.0286462,0.0225572,0.0145514,0.0119683,0.0102145,0.00854268,0.00667123,0.00649287,0.00679504,0.00717166,0.00819363,0.0104537,0.0107494,0.00885939,0.00660066,0.00389558,-0.00706034,-0.00611766,-0.0043487,-0.00209109,-0.000946798,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,0.0005,136.19,136.19,166.53,204.193,217.078,205.682,166.788,174.321,191.996,181.0,168.918,178.588,205.564,217.655,287.316,399.682,363.331,401.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1217_CHICHI_CHY060-E,nonCollapse,0.0600366,0.0548294,0.0408873,0.0231704,0.0130331,0.008872,0.00733741,0.00557648,0.00534872,0.00544276,0.00566162,0.00626626,0.00783257,0.00812697,0.00721322,0.00577558,0.00341003,-0.0172333,-0.0153094,-0.0116273,-0.00593758,-0.00235287,-0.000531399,-0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,114.159,114.159,423.148,456.141,186.942,195.137,182.775,168.906,165.817,157.414,143.833,149.371,170.722,193.552,215.098,234.756,289.57,346.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1225_CHICHI_CHY070-E,nonCollapse,0.0375053,0.035439,0.0294707,0.0186242,0.0117623,0.00789533,0.00664818,0.00541535,0.00559188,0.00608227,0.00680073,0.00816387,0.0106887,0.0113223,0.00948507,0.00700048,0.00423976,-0.0092352,-0.00816634,-0.0061323,-0.00307509,-0.00117599,-0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,111.812,111.812,159.77,195.98,200.817,173.566,179.477,170.679,142.081,158.551,159.936,158.618,169.947,241.639,308.619,379.834,377.313,425.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1243_CHICHI_CHY100-N,nonCollapse,0.040924,0.0381653,0.0311687,0.0195391,0.0111473,0.00784855,0.00668389,0.0055179,0.00550128,0.00562453,0.00571227,0.00611094,0.00724326,0.00731037,0.00651472,0.00527961,0.00322232,-0.0059145,-0.00518368,-0.00379931,-0.00177823,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,125.642,125.642,164.635,209.944,174.168,203.928,186.125,162.848,143.91,143.91,142.37,155.548,180.235,195.814,207.469,236.483,270.769,302.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1246_CHICHI_CHY104-N,nonCollapse,0.0447729,0.040015,0.0310013,0.0189573,0.0112735,0.00828259,0.00785336,0.00632664,0.00604088,0.00600326,0.00594347,0.00644979,0.007796,0.00791875,0.00690456,0.0054563,0.00320688,-0.0005,-0.0005,-0.000546339,-0.0005,-0.000791732,-0.0005,-0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,120.685,120.685,858.249,175.414,154.805,140.21,137.631,143.807,128.231,129.684,137.481,159.483,185.174,206.471,221.347,245.227,291.098,325.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
